"row"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Action', '162.0', 'Avatar', '28')"
"('36648', 'Blade: Trinity', '65000000', '128905366', '49.660055', 'Thriller', '123.0', 'Blade: Trinity', '53')"
"('36648', 'Blade: Trinity', '65000000', '128905366', '49.660055', 'Adventure', '123.0', 'Blade: Trinity', '12')"
"('36648', 'Blade: Trinity', '65000000', '128905366', '49.660055', 'Fantasy', '123.0', 'Blade: Trinity', '14')"
"('1880', 'Red Dawn', '4200000', '38376497', '11.743085', 'Action', '114.0', 'Red Dawn', '28')"
"('1880', 'Red Dawn', '4200000', '38376497', '11.743085', 'Thriller', '114.0', 'Red Dawn', '53')"
"('9440', 'Primary Colors', '65000000', '0', '9.110247', 'Comedy', '143.0', 'Primary Colors', '35')"
"('9440', 'Primary Colors', '65000000', '0', '9.110247', 'Drama', '143.0', 'Primary Colors', '18')"
"('71679', 'Resident Evil: Retribution', '65000000', '240159255', '6.227675', 'Action', '95.0', 'Resident Evil: Retribution', '28')"
"('71679', 'Resident Evil: Retribution', '65000000', '240159255', '6.227675', 'Horror', '95.0', 'Resident Evil: Retribution', '27')"
"('71679', 'Resident Evil: Retribution', '65000000', '240159255', '6.227675', 'Science Fiction', '95.0', 'Resident Evil: Retribution', '878')"
"('10483', 'Death Race', '45000000', '73762516', '42.57877', 'Action', '105.0', 'Death Race', '28')"
"('10483', 'Death Race', '45000000', '73762516', '42.57877', 'Thriller', '105.0', 'Death Race', '53')"
"('10483', 'Death Race', '45000000', '73762516', '42.57877', 'Science Fiction', '105.0', 'Death Race', '878')"
"('11412', 'The Long Kiss Goodnight', '65000000', '89456761', '15.858629', 'Crime', '120.0', 'The Long Kiss Goodnight', '80')"
"('11412', 'The Long Kiss Goodnight', '65000000', '89456761', '15.858629', 'Action', '120.0', 'The Long Kiss Goodnight', '28')"
"('11412', 'The Long Kiss Goodnight', '65000000', '89456761', '15.858629', 'Mystery', '120.0', 'The Long Kiss Goodnight', '9648')"
"('11412', 'The Long Kiss Goodnight', '65000000', '89456761', '15.858629', 'Thriller', '120.0', 'The Long Kiss Goodnight', '53')"
"('11983', 'Proof of Life', '65000000', '0', '14.866901', 'Action', '135.0', 'Proof of Life', '28')"
"('11983', 'Proof of Life', '65000000', '0', '14.866901', 'Adventure', '135.0', 'Proof of Life', '12')"
"('11983', 'Proof of Life', '65000000', '0', '14.866901', 'Drama', '135.0', 'Proof of Life', '18')"
"('11983', 'Proof of Life', '65000000', '0', '14.866901', 'Romance', '135.0', 'Proof of Life', '10749')"
"('11983', 'Proof of Life', '65000000', '0', '14.866901', 'Thriller', '135.0', 'Proof of Life', '53')"
"('6795', 'Zathura: A Space Adventure', '65000000', '64321501', '15.194239', 'Family', '101.0', 'Zathura: A Space Adventure', '10751')"
"('6795', 'Zathura: A Space Adventure', '65000000', '64321501', '15.194239', 'Fantasy', '101.0', 'Zathura: A Space Adventure', '14')"
"('6795', 'Zathura: A Space Adventure', '65000000', '64321501', '15.194239', 'Science Fiction', '101.0', 'Zathura: A Space Adventure', '878')"
"('6795', 'Zathura: A Space Adventure', '65000000', '64321501', '15.194239', 'Adventure', '101.0', 'Zathura: A Space Adventure', '12')"
"('550', 'Fight Club', '63000000', '100853753', '146.757391', 'Drama', '139.0', 'Fight Club', '18')"
"('11170', 'We Are Marshall', '65000000', '43545364', '8.629665', 'Drama', '124.0', 'We Are Marshall', '18')"
"('9292', 'Hudson Hawk', '65000000', '17218080', '16.803457', 'Action', '100.0', 'Hudson Hawk', '28')"
"('9292', 'Hudson Hawk', '65000000', '17218080', '16.803457', 'Adventure', '100.0', 'Hudson Hawk', '12')"
"('9292', 'Hudson Hawk', '65000000', '17218080', '16.803457', 'Comedy', '100.0', 'Hudson Hawk', '35')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Action', '105.0', 'Lucky Numbers', '28')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Adventure', '105.0', 'Lucky Numbers', '12')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Comedy', '105.0', 'Lucky Numbers', '35')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Crime', '105.0', 'Lucky Numbers', '80')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Romance', '105.0', 'Lucky Numbers', '10749')"
"('10783', 'Lucky Numbers', '65000000', '0', '2.952595', 'Thriller', '105.0', 'Lucky Numbers', '53')"
"('100241', 'I, Frankenstein', '65000000', '71154592', '31.324734', 'Horror', '92.0', 'I, Frankenstein', '27')"
"('100241', 'I, Frankenstein', '65000000', '71154592', '31.324734', 'Thriller', '92.0', 'I, Frankenstein', '53')"
"('257', 'Oliver Twist', '50000000', '42093706', '20.415572', 'Crime', '130.0', 'Oliver Twist', '80')"
"('257', 'Oliver Twist', '50000000', '42093706', '20.415572', 'Drama', '130.0', 'Oliver Twist', '18')"
"('257', 'Oliver Twist', '50000000', '42093706', '20.415572', 'Family', '130.0', 'Oliver Twist', '10751')"
"('9947', 'Elektra', '43000000', '56681566', '28.613892', 'Action', '97.0', 'Elektra', '28')"
"('9947', 'Elektra', '43000000', '56681566', '28.613892', 'Fantasy', '97.0', 'Elektra', '14')"
"('189', 'Sin City: A Dame to Kill For', '65000000', '39407616', '85.428395', 'Crime', '102.0', 'Sin City: A Dame to Kill For', '80')"
"('189', 'Sin City: A Dame to Kill For', '65000000', '39407616', '85.428395', 'Thriller', '102.0', 'Sin City: A Dame to Kill For', '53')"
"('12618', 'Random Hearts', '64000000', '74608570', '4.137237', 'Drama', '133.0', 'Random Hearts', '18')"
"('12618', 'Random Hearts', '64000000', '74608570', '4.137237', 'Romance', '133.0', 'Random Hearts', '10749')"
"('253412', 'Everest', '55000000', '203427584', '60.246978', 'Adventure', '121.0', 'Everest', '12')"
"('253412', 'Everest', '55000000', '203427584', '60.246978', 'Drama', '121.0', 'Everest', '18')"
"('1427', 'Perfume: The Story of a Murderer', '50000000', '132180323', '42.551902', 'Crime', '147.0', 'Perfume: The Story of a Murderer', '80')"
"('1427', 'Perfume: The Story of a Murderer', '50000000', '132180323', '42.551902', 'Fantasy', '147.0', 'Perfume: The Story of a Murderer', '14')"
"('1427', 'Perfume: The Story of a Murderer', '50000000', '132180323', '42.551902', 'Drama', '147.0', 'Perfume: The Story of a Murderer', '18')"
"('818', 'Austin Powers in Goldmember', '63000000', '296655431', '40.137264', 'Comedy', '94.0', 'Austin Powers in Goldmember', '35')"
"('818', 'Austin Powers in Goldmember', '63000000', '296655431', '40.137264', 'Crime', '94.0', 'Austin Powers in Goldmember', '80')"
"('818', 'Austin Powers in Goldmember', '63000000', '296655431', '40.137264', 'Science Fiction', '94.0', 'Austin Powers in Goldmember', '878')"
"('16577', 'Astro Boy', '65000000', '44091067', '24.857079', 'Animation', '94.0', 'Astro Boy', '16')"
"('16577', 'Astro Boy', '65000000', '44091067', '24.857079', 'Action', '94.0', 'Astro Boy', '28')"
"('16577', 'Astro Boy', '65000000', '44091067', '24.857079', 'Family', '94.0', 'Astro Boy', '10751')"
"('16577', 'Astro Boy', '65000000', '44091067', '24.857079', 'Science Fiction', '94.0', 'Astro Boy', '878')"
"('329', 'Jurassic Park', '63000000', '920100000', '40.413191', 'Adventure', '127.0', 'Jurassic Park', '12')"
"('329', 'Jurassic Park', '63000000', '920100000', '40.413191', 'Science Fiction', '127.0', 'Jurassic Park', '878')"
"('12160', 'Wyatt Earp', '63000000', '25052000', '13.859307', 'Drama', '191.0', 'Wyatt Earp', '18')"
"('12160', 'Wyatt Earp', '63000000', '25052000', '13.859307', 'Action', '191.0', 'Wyatt Earp', '28')"
"('12160', 'Wyatt Earp', '63000000', '25052000', '13.859307', 'Western', '191.0', 'Wyatt Earp', '37')"
"('9331', 'Clear and Present Danger', '62000000', '215887717', '18.832471', 'Action', '141.0', 'Clear and Present Danger', '28')"
"('9331', 'Clear and Present Danger', '62000000', '215887717', '18.832471', 'Drama', '141.0', 'Clear and Present Danger', '18')"
"('9331', 'Clear and Present Danger', '62000000', '215887717', '18.832471', 'Thriller', '141.0', 'Clear and Present Danger', '53')"
"('300168', 'å¤©å°‡é›„å¸«', '65000000', '121545703', '9.568884', 'Action', '127.0', 'Dragon Blade', '28')"
"('300168', 'å¤©å°‡é›„å¸«', '65000000', '121545703', '9.568884', 'Drama', '127.0', 'Dragon Blade', '18')"
"('300168', 'å¤©å°‡é›„å¸«', '65000000', '121545703', '9.568884', 'Adventure', '127.0', 'Dragon Blade', '12')"
"('9072', 'Little Man', '64000000', '101595121', '12.421504', 'Comedy', '98.0', 'Little Man', '35')"
"('9072', 'Little Man', '64000000', '101595121', '12.421504', 'Crime', '98.0', 'Little Man', '80')"
"('3536', 'U-571', '62000000', '127666415', '18.096884', 'Action', '116.0', 'U-571', '28')"
"('3536', 'U-571', '62000000', '127666415', '18.096884', 'Drama', '116.0', 'U-571', '18')"
"('3536', 'U-571', '62000000', '127666415', '18.096884', 'Thriller', '116.0', 'U-571', '53')"
"('3536', 'U-571', '62000000', '127666415', '18.096884', 'War', '116.0', 'U-571', '10752')"
"('9087', 'The American President', '62000000', '107879496', '11.056763', 'Comedy', '106.0', 'The American President', '35')"
"('9087', 'The American President', '62000000', '107879496', '11.056763', 'Drama', '106.0', 'The American President', '18')"
"('9087', 'The American President', '62000000', '107879496', '11.056763', 'Romance', '106.0', 'The American President', '10749')"
"('12177', 'The Love Guru', '62000000', '41819064', '13.218008', 'Comedy', '87.0', 'The Love Guru', '35')"
"('12177', 'The Love Guru', '62000000', '41819064', '13.218008', 'Romance', '87.0', 'The Love Guru', '10749')"
"('12138', '3000 Miles to Graceland', '62000000', '18720175', '11.262655', 'Action', '125.0', '3000 Miles to Graceland', '28')"
"('12138', '3000 Miles to Graceland', '62000000', '18720175', '11.262655', 'Adventure', '125.0', '3000 Miles to Graceland', '12')"
"('12138', '3000 Miles to Graceland', '62000000', '18720175', '11.262655', 'Comedy', '125.0', '3000 Miles to Graceland', '35')"
"('12138', '3000 Miles to Graceland', '62000000', '18720175', '11.262655', 'Thriller', '125.0', '3000 Miles to Graceland', '53')"
"('12138', '3000 Miles to Graceland', '62000000', '18720175', '11.262655', 'Crime', '125.0', '3000 Miles to Graceland', '80')"
"('273248', 'The Hateful Eight', '44000000', '155760117', '68.717016', 'Crime', '167.0', 'The Hateful Eight', '80')"
"('273248', 'The Hateful Eight', '44000000', '155760117', '68.717016', 'Drama', '167.0', 'The Hateful Eight', '18')"
"('273248', 'The Hateful Eight', '44000000', '155760117', '68.717016', 'Mystery', '167.0', 'The Hateful Eight', '9648')"
"('273248', 'The Hateful Eight', '44000000', '155760117', '68.717016', 'Western', '167.0', 'The Hateful Eight', '37')"
"('9955', 'Blades of Glory', '53000000', '0', '19.412028', 'Action', '93.0', 'Blades of Glory', '28')"
"('9955', 'Blades of Glory', '53000000', '0', '19.412028', 'Comedy', '93.0', 'Blades of Glory', '35')"
"('9955', 'Blades of Glory', '53000000', '0', '19.412028', 'Drama', '93.0', 'Blades of Glory', '18')"
"('50359', 'Hop', '63000000', '183953723', '16.791058', 'Animation', '95.0', 'Hop', '16')"
"('50359', 'Hop', '63000000', '183953723', '16.791058', 'Comedy', '95.0', 'Hop', '35')"
"('50359', 'Hop', '63000000', '183953723', '16.791058', 'Family', '95.0', 'Hop', '10751')"
"('1271', '300', '65000000', '422610419', '65.197968', 'Action', '117.0', '300', '28')"
"('1271', '300', '65000000', '422610419', '65.197968', 'Adventure', '117.0', '300', '12')"
"('1271', '300', '65000000', '422610419', '65.197968', 'War', '117.0', '300', '10752')"
"('693', 'Meet the Fockers', '80000000', '516642939', '32.829538', 'Romance', '115.0', 'Meet the Fockers', '10749')"
"('14306', 'Marley & Me', '60000000', '244082376', '30.951203', 'Comedy', '115.0', 'Marley & Me', '35')"
"('14306', 'Marley & Me', '60000000', '244082376', '30.951203', 'Family', '115.0', 'Marley & Me', '10751')"
"('497', 'The Green Mile', '60000000', '284600000', '103.698022', 'Fantasy', '189.0', 'The Green Mile', '14')"
"('497', 'The Green Mile', '60000000', '284600000', '103.698022', 'Drama', '189.0', 'The Green Mile', '18')"
"('497', 'The Green Mile', '60000000', '284600000', '103.698022', 'Crime', '189.0', 'The Green Mile', '80')"
"('11199', 'Wild Hogs', '0', '253625427', '31.719463', 'Action', '100.0', 'Wild Hogs', '28')"
"('11199', 'Wild Hogs', '0', '253625427', '31.719463', 'Adventure', '100.0', 'Wild Hogs', '12')"
"('11199', 'Wild Hogs', '0', '253625427', '31.719463', 'Comedy', '100.0', 'Wild Hogs', '35')"
"('9982', 'Chicken Little', '150000000', '314432665', '47.973995', 'Animation', '81.0', 'Chicken Little', '16')"
"('9982', 'Chicken Little', '150000000', '314432665', '47.973995', 'Family', '81.0', 'Chicken Little', '10751')"
"('9982', 'Chicken Little', '150000000', '314432665', '47.973995', 'Comedy', '81.0', 'Chicken Little', '35')"
"('210577', 'Gone Girl', '61000000', '369330363', '143.041543', 'Mystery', '145.0', 'Gone Girl', '9648')"
"('210577', 'Gone Girl', '61000000', '369330363', '143.041543', 'Thriller', '145.0', 'Gone Girl', '53')"
"('210577', 'Gone Girl', '61000000', '369330363', '143.041543', 'Drama', '145.0', 'Gone Girl', '18')"
"('2501', 'The Bourne Identity', '60000000', '214034224', '86.476817', 'Action', '119.0', 'The Bourne Identity', '28')"
"('2501', 'The Bourne Identity', '60000000', '214034224', '86.476817', 'Drama', '119.0', 'The Bourne Identity', '18')"
"('2501', 'The Bourne Identity', '60000000', '214034224', '86.476817', 'Mystery', '119.0', 'The Bourne Identity', '9648')"
"('2501', 'The Bourne Identity', '60000000', '214034224', '86.476817', 'Thriller', '119.0', 'The Bourne Identity', '53')"
"('710', 'GoldenEye', '58000000', '352194034', '59.824565', 'Adventure', '130.0', 'GoldenEye', '12')"
"('710', 'GoldenEye', '58000000', '352194034', '59.824565', 'Action', '130.0', 'GoldenEye', '28')"
"('710', 'GoldenEye', '58000000', '352194034', '59.824565', 'Thriller', '130.0', 'GoldenEye', '53')"
"('2275', ""The General's Daughter"", '60000000', '149705852', '18.345613', 'Crime', '116.0', ""The General's Daughter"", '80')"
"('2275', ""The General's Daughter"", '60000000', '149705852', '18.345613', 'Drama', '116.0', ""The General's Daughter"", '18')"
"('2275', ""The General's Daughter"", '60000000', '149705852', '18.345613', 'Mystery', '116.0', ""The General's Daughter"", '9648')"
"('2275', ""The General's Daughter"", '60000000', '149705852', '18.345613', 'Thriller', '116.0', ""The General's Daughter"", '53')"
"('37165', 'The Truman Show', '60000000', '264118201', '56.488027', 'Comedy', '103.0', 'The Truman Show', '35')"
"('37165', 'The Truman Show', '60000000', '264118201', '56.488027', 'Drama', '103.0', 'The Truman Show', '18')"
"('9837', 'The Prince of Egypt', '70000000', '218613188', '29.464852', 'Adventure', '99.0', 'The Prince of Egypt', '12')"
"('9837', 'The Prince of Egypt', '70000000', '218613188', '29.464852', 'Animation', '99.0', 'The Prince of Egypt', '16')"
"('9837', 'The Prince of Egypt', '70000000', '218613188', '29.464852', 'Drama', '99.0', 'The Prince of Egypt', '18')"
"('9837', 'The Prince of Egypt', '70000000', '218613188', '29.464852', 'Family', '99.0', 'The Prince of Egypt', '10751')"
"('9837', 'The Prince of Egypt', '70000000', '218613188', '29.464852', 'Music', '99.0', 'The Prince of Egypt', '10402')"
"('10708', 'Daddy Day Care', '60000000', '164433867', '18.106021', 'Comedy', '92.0', 'Daddy Day Care', '35')"
"('10708', 'Daddy Day Care', '60000000', '164433867', '18.106021', 'Family', '92.0', 'Daddy Day Care', '10751')"
"('136400', '2 Guns', '61000000', '131940411', '42.881415', 'Action', '109.0', '2 Guns', '28')"
"('136400', '2 Guns', '61000000', '131940411', '42.881415', 'Comedy', '109.0', '2 Guns', '35')"
"('136400', '2 Guns', '61000000', '131940411', '42.881415', 'Crime', '109.0', '2 Guns', '80')"
"('10992', 'Cats & Dogs', '60000000', '93375151', '18.735024', 'Comedy', '87.0', 'Cats & Dogs', '35')"
"('10992', 'Cats & Dogs', '60000000', '93375151', '18.735024', 'Family', '87.0', 'Cats & Dogs', '10751')"
"('9654', 'The Italian Job', '60000000', '176070171', '62.766854', 'Action', '110.0', 'The Italian Job', '28')"
"('9654', 'The Italian Job', '60000000', '176070171', '62.766854', 'Crime', '110.0', 'The Italian Job', '80')"
"('2642', 'Two Weeks Notice', '60000000', '93354918', '24.153567', 'Romance', '101.0', 'Two Weeks Notice', '10749')"
"('2642', 'Two Weeks Notice', '60000000', '93354918', '24.153567', 'Comedy', '101.0', 'Two Weeks Notice', '35')"
"('8916', 'Antz', '60000000', '171757863', '41.515702', 'Adventure', '83.0', 'Antz', '12')"
"('8916', 'Antz', '60000000', '171757863', '41.515702', 'Animation', '83.0', 'Antz', '16')"
"('8916', 'Antz', '60000000', '171757863', '41.515702', 'Comedy', '83.0', 'Antz', '35')"
"('8916', 'Antz', '60000000', '171757863', '41.515702', 'Family', '83.0', 'Antz', '10751')"
"('19899', 'Couples Retreat', '70000000', '171844840', '26.676487', 'Comedy', '113.0', 'Couples Retreat', '35')"
"('19899', 'Couples Retreat', '70000000', '171844840', '26.676487', 'Romance', '113.0', 'Couples Retreat', '10749')"
"('2119', 'Days of Thunder', '60000000', '157920733', '16.278022', 'Adventure', '107.0', 'Days of Thunder', '12')"
"('9641', 'Cheaper by the Dozen 2', '60000000', '129181830', '18.831023', 'Comedy', '94.0', 'Cheaper by the Dozen 2', '35')"
"('294254', 'Maze Runner: The Scorch Trials', '61000000', '311256926', '113.161483', 'Action', '132.0', 'Maze Runner: The Scorch Trials', '28')"
"('38167', 'Eat Pray Love', '60000000', '204594016', '28.800112', 'Drama', '133.0', 'Eat Pray Love', '18')"
"('5994', 'The Family Man', '60000000', '0', '19.705489', 'Comedy', '125.0', 'The Family Man', '35')"
"('5994', 'The Family Man', '60000000', '0', '19.705489', 'Drama', '125.0', 'The Family Man', '18')"
"('5994', 'The Family Man', '60000000', '0', '19.705489', 'Romance', '125.0', 'The Family Man', '10749')"
"('5994', 'The Family Man', '60000000', '0', '19.705489', 'Fantasy', '125.0', 'The Family Man', '14')"
"('39514', 'RED', '58000000', '71664962', '41.430245', 'Action', '111.0', 'RED', '28')"
"('39514', 'RED', '58000000', '71664962', '41.430245', 'Adventure', '111.0', 'RED', '12')"
"('39514', 'RED', '58000000', '71664962', '41.430245', 'Comedy', '111.0', 'RED', '35')"
"('39514', 'RED', '58000000', '71664962', '41.430245', 'Crime', '111.0', 'RED', '80')"
"('39514', 'RED', '58000000', '71664962', '41.430245', 'Thriller', '111.0', 'RED', '53')"
"('9563', 'Any Given Sunday', '55000000', '100230832', '23.127561', 'Drama', '163.0', 'Any Given Sunday', '18')"
"('547', 'The Horse Whisperer', '60000000', '186883563', '12.867352', 'Drama', '170.0', 'The Horse Whisperer', '18')"
"('547', 'The Horse Whisperer', '60000000', '186883563', '12.867352', 'Romance', '170.0', 'The Horse Whisperer', '10749')"
"('1538', 'Collateral', '65000000', '217764291', '44.815022', 'Drama', '120.0', 'Collateral', '18')"
"('1538', 'Collateral', '65000000', '217764291', '44.815022', 'Crime', '120.0', 'Collateral', '80')"
"('1538', 'Collateral', '65000000', '217764291', '44.815022', 'Thriller', '120.0', 'Collateral', '53')"
"('9334', 'The Scorpion King', '60000000', '165333180', '37.537093', 'Action', '92.0', 'The Scorpion King', '28')"
"('9334', 'The Scorpion King', '60000000', '165333180', '37.537093', 'Fantasy', '92.0', 'The Scorpion King', '14')"
"('9334', 'The Scorpion King', '60000000', '165333180', '37.537093', 'Adventure', '92.0', 'The Scorpion King', '12')"
"('11128', 'Ladder 49', '60000000', '74541707', '10.99991', 'Drama', '115.0', 'Ladder 49', '18')"
"('11128', 'Ladder 49', '60000000', '74541707', '10.99991', 'Action', '115.0', 'Ladder 49', '28')"
"('11128', 'Ladder 49', '60000000', '74541707', '10.99991', 'Thriller', '115.0', 'Ladder 49', '53')"
"('75780', 'Jack Reacher', '60000000', '218340595', '56.868399', 'Crime', '130.0', 'Jack Reacher', '80')"
"('75780', 'Jack Reacher', '60000000', '218340595', '56.868399', 'Drama', '130.0', 'Jack Reacher', '18')"
"('75780', 'Jack Reacher', '60000000', '218340595', '56.868399', 'Thriller', '130.0', 'Jack Reacher', '53')"
"('8914', 'Deep Blue Sea', '60000000', '73648228', '22.991269', 'Action', '105.0', 'Deep Blue Sea', '28')"
"('8914', 'Deep Blue Sea', '60000000', '73648228', '22.991269', 'Science Fiction', '105.0', 'Deep Blue Sea', '878')"
"('8914', 'Deep Blue Sea', '60000000', '73648228', '22.991269', 'Thriller', '105.0', 'Deep Blue Sea', '53')"
"('13576', ""Michael Jackson's This Is It"", '60000000', '0', '15.798622', 'Music', '111.0', 'This Is It', '10402')"
"('13576', ""Michael Jackson's This Is It"", '60000000', '0', '15.798622', 'Documentary', '111.0', 'This Is It', '99')"
"('39538', 'Contagion', '60000000', '137551594', '38.820858', 'Drama', '106.0', 'Contagion', '18')"
"('39538', 'Contagion', '60000000', '137551594', '38.820858', 'Thriller', '106.0', 'Contagion', '53')"
"('39538', 'Contagion', '60000000', '137551594', '38.820858', 'Science Fiction', '106.0', 'Contagion', '878')"
"('10628', 'Kangaroo Jack', '0', '0', '10.292864', 'Comedy', '89.0', 'Kangaroo Jack', '35')"
"('10628', 'Kangaroo Jack', '0', '0', '10.292864', 'Adventure', '89.0', 'Kangaroo Jack', '12')"
"('10628', 'Kangaroo Jack', '0', '0', '10.292864', 'Crime', '89.0', 'Kangaroo Jack', '80')"
"('14836', 'Coraline', '60000000', '124596398', '51.146047', 'Animation', '100.0', 'Coraline', '16')"
"('14836', 'Coraline', '60000000', '124596398', '51.146047', 'Family', '100.0', 'Coraline', '10751')"
"('8645', 'The Happening', '60000000', '163403799', '20.501582', 'Thriller', '91.0', 'The Happening', '53')"
"('8645', 'The Happening', '60000000', '163403799', '20.501582', 'Science Fiction', '91.0', 'The Happening', '878')"
"('9509', 'Man on Fire', '70000000', '130293714', '45.299089', 'Action', '146.0', 'Man on Fire', '28')"
"('9509', 'Man on Fire', '70000000', '130293714', '45.299089', 'Drama', '146.0', 'Man on Fire', '18')"
"('9509', 'Man on Fire', '70000000', '130293714', '45.299089', 'Thriller', '146.0', 'Man on Fire', '53')"
"('9509', 'Man on Fire', '70000000', '130293714', '45.299089', 'Crime', '146.0', 'Man on Fire', '80')"
"('10067', 'The Shaggy Dog', '50000000', '61112916', '4.280619', 'Comedy', '98.0', 'The Shaggy Dog', '35')"
"('10067', 'The Shaggy Dog', '50000000', '61112916', '4.280619', 'Family', '98.0', 'The Shaggy Dog', '10751')"
"('9384', 'Starsky & Hutch', '60000000', '170268750', '28.848842', 'Comedy', '101.0', 'Starsky & Hutch', '35')"
"('9384', 'Starsky & Hutch', '60000000', '170268750', '28.848842', 'Crime', '101.0', 'Starsky & Hutch', '80')"
"('9279', 'Jingle All the Way', '60000000', '129832389', '22.501041', 'Family', '89.0', 'Jingle All the Way', '10751')"
"('9279', 'Jingle All the Way', '60000000', '129832389', '22.501041', 'Comedy', '89.0', 'Jingle All the Way', '35')"
"('1487', 'Hellboy', '66000000', '99318987', '47.479755', 'Fantasy', '122.0', 'Hellboy', '14')"
"('1487', 'Hellboy', '66000000', '99318987', '47.479755', 'Action', '122.0', 'Hellboy', '28')"
"('1487', 'Hellboy', '66000000', '99318987', '47.479755', 'Science Fiction', '122.0', 'Hellboy', '878')"
"('9422', 'A Civil Action', '70000000', '56702901', '10.147321', 'Drama', '115.0', 'A Civil Action', '18')"
"('77174', 'ParaNorman', '60000000', '107139399', '39.539045', 'Family', '90.0', 'ParaNorman', '10751')"
"('77174', 'ParaNorman', '60000000', '107139399', '39.539045', 'Animation', '90.0', 'ParaNorman', '16')"
"('77174', 'ParaNorman', '60000000', '107139399', '39.539045', 'Adventure', '90.0', 'ParaNorman', '12')"
"('77174', 'ParaNorman', '60000000', '107139399', '39.539045', 'Comedy', '90.0', 'ParaNorman', '35')"
"('4824', 'The Jackal', '60000000', '159330280', '19.747459', 'Action', '124.0', 'The Jackal', '28')"
"('4824', 'The Jackal', '60000000', '159330280', '19.747459', 'Thriller', '124.0', 'The Jackal', '53')"
"('4824', 'The Jackal', '60000000', '159330280', '19.747459', 'Adventure', '124.0', 'The Jackal', '12')"
"('4824', 'The Jackal', '60000000', '159330280', '19.747459', 'Crime', '124.0', 'The Jackal', '80')"
"('9620', 'Paycheck', '60000000', '96269812', '29.018826', 'Action', '119.0', 'Paycheck', '28')"
"('9620', 'Paycheck', '60000000', '96269812', '29.018826', 'Adventure', '119.0', 'Paycheck', '12')"
"('9620', 'Paycheck', '60000000', '96269812', '29.018826', 'Mystery', '119.0', 'Paycheck', '9648')"
"('9620', 'Paycheck', '60000000', '96269812', '29.018826', 'Science Fiction', '119.0', 'Paycheck', '878')"
"('9620', 'Paycheck', '60000000', '96269812', '29.018826', 'Thriller', '119.0', 'Paycheck', '53')"
"('9302', 'Up Close & Personal', '60000000', '0', '4.801849', 'Drama', '119.0', 'Up Close & Personal', '18')"
"('9302', 'Up Close & Personal', '60000000', '0', '4.801849', 'Romance', '119.0', 'Up Close & Personal', '10749')"
"('10199', 'The Tale of Despereaux', '60000000', '50877145', '16.493576', 'Adventure', '93.0', 'The Tale of Despereaux', '12')"
"('10199', 'The Tale of Despereaux', '60000000', '50877145', '16.493576', 'Animation', '93.0', 'The Tale of Despereaux', '16')"
"('10199', 'The Tale of Despereaux', '60000000', '50877145', '16.493576', 'Family', '93.0', 'The Tale of Despereaux', '10751')"
"('10771', 'The Tuxedo', '0', '0', '21.549232', 'Thriller', '98.0', 'The Tuxedo', '53')"
"('10771', 'The Tuxedo', '0', '0', '21.549232', 'Action', '98.0', 'The Tuxedo', '28')"
"('10771', 'The Tuxedo', '0', '0', '21.549232', 'Comedy', '98.0', 'The Tuxedo', '35')"
"('10771', 'The Tuxedo', '0', '0', '21.549232', 'Science Fiction', '98.0', 'The Tuxedo', '878')"
"('3512', 'Under Siege 2: Dark Territory', '60000000', '104324083', '13.080725', 'Action', '100.0', 'Under Siege 2: Dark Territory', '28')"
"('3512', 'Under Siege 2: Dark Territory', '60000000', '104324083', '13.080725', 'Thriller', '100.0', 'Under Siege 2: Dark Territory', '53')"
"('137094', 'Jack Ryan: Shadow Recruit', '60000000', '50549107', '42.538258', 'Action', '105.0', 'Jack Ryan: Shadow Recruit', '28')"
"('137094', 'Jack Ryan: Shadow Recruit', '60000000', '50549107', '42.538258', 'Drama', '105.0', 'Jack Ryan: Shadow Recruit', '18')"
"('137094', 'Jack Ryan: Shadow Recruit', '60000000', '50549107', '42.538258', 'Thriller', '105.0', 'Jack Ryan: Shadow Recruit', '53')"
"('274479', 'Joy', '60000000', '101134059', '29.876507', 'Drama', '124.0', 'Joy', '18')"
"('274479', 'Joy', '60000000', '101134059', '29.876507', 'Comedy', '124.0', 'Joy', '35')"
"('267860', 'London Has Fallen', '60000000', '205754447', '61.849521', 'Action', '99.0', 'London Has Fallen', '28')"
"('267860', 'London Has Fallen', '60000000', '205754447', '61.849521', 'Crime', '99.0', 'London Has Fallen', '80')"
"('267860', 'London Has Fallen', '60000000', '205754447', '61.849521', 'Thriller', '99.0', 'London Has Fallen', '53')"
"('8078', 'Alien: Resurrection', '70000000', '162000000', '37.44963', 'Science Fiction', '109.0', 'Alien: Resurrection', '878')"
"('8078', 'Alien: Resurrection', '70000000', '162000000', '37.44963', 'Horror', '109.0', 'Alien: Resurrection', '27')"
"('8078', 'Alien: Resurrection', '70000000', '162000000', '37.44963', 'Action', '109.0', 'Alien: Resurrection', '28')"
"('7485', 'Shooter', '61000000', '95696996', '37.378081', 'Action', '124.0', 'Shooter', '28')"
